Library System,Branch Name,1x Branch Unique ID,School District Served,Phone,Physical Address,City,Province,Postal Code,Latitude,Longitude,"460x Total branch physical materials, volumes held",556x Branch circulation of print and other physical materials,565x Branch circulation of children's materials,610x Branch reference transactions,775x In person visits to this branch or service point,680x Branch in-library adult programs,682x Branch outreach adult programs,690x Attendance at adult programs,700x Branch in-library children's programs,702x Branch outreach children's programs,710x Attendance at children's programs,715x Branch in-library young adult programs,717x Branch outreach young adult programs,716x Attendance at young adult programs,"671x Branch in-library newcomer/ELL programs, all ages","673x Branch outreach newcomer/ELL programs, all ages",672x Attendance at branch newcomer/ELL programs,"740x Professional Librarians, hours worked at this branch","742x Library Technicians, hours worked at this branch","752x Community Librarians, hours worked at this branch","770x Other Staff, hours worked at this branch",975x Number of photocopiers in library branch,852x Is this location LEED certified?,854x Is this location a Shared Space facility?,"860x Branch space/size, total square metres",890x Hours open per year at this location,920x Days open per year at this location
Houston Public Library,Houston Public Library,BH001,54,(250) 845-2256,3150 - 14th Street,Houston,BC,V0J 1Z0,54.396495,-126.654854,18492,17311,5156,2980,17042,77,10,1840,44,11,1514,0,0,0,40,0,201,0,0,1902,2644,2,No,No,495,1776,251
Hudson's Hope Public Library,Hudson's Hope Public Library,BHH001,60,(250) 783-9414,9905 Dudley Drive,Hudson's Hope,BC,V0C 1V0,56.025816,-121.913228,16346,9006,4067,350,6600,5,5,323,178,1,582,27,0,129,0,0,0,0,0,2932,2843,4,No,No,210,1776,264
Invermere Public Library,Invermere Public Library,BIN001,6,(250) 342-6416,201 - 7th Avenue,Invermere,BC,V0A 1K0,50.50344,-116.027059,13452,37045,14274,8700,29400,146,22,640,244,36,7073,17,0,68,0,0,0,0,0,2746,4089,1,No,Yes,316,1976,260
Kaslo & District Public Library,Kaslo & District Public Library,BKASL001,8,(250) 353-2942,413 Fourth Street,Kaslo,BC,V0G 1M0,50.243665,-117.802664,16254,26678,9424,3350,17200,21,5,350,59,4,547,2,2,85,n.a.,n.a.,n.a.,0,0,2121,770,1,No,Yes,178,1300,202
Kimberley Public Library,Kimberley Public Library,BKI001,6,(250) 427-3112,115 Spokane Street,Kimberley,BC,V1A 2E5,49.686154,-115.984693,37153,46233,16206,,n.d.,10,5,430,8,2,1210,1,1,65,0,0,0,0,1950,870,3300,2,No,Yes,511,1977,250
Kitimat Public Library Association,Kitimat Public Library Association,BKIT001,82,(250) 632-8985,940 Wakashan Avenue,Kitimat,BC,V8C 2G3,54.051291,-128.651814,56673,29644,11247,12823,42507,128,3,457,73,8,2604,n.a.,n.a.,n.a.,1,n.a.,15,1820,936,0,8196,2,No,No,860,2610,301
Lillooet Area Public Library,Lillooet Public Library,BLP003,74,(250) 256-7944,Recreational Centre - 930 Main Street,Lillooet,BC,V0K 1V0,50.691476,-121.937524,18364,23796,n.d.,919,15549,38,,,30,80,1021,40,,845,1,,348,0,0,4112,950,1,No,Yes,244,1576,259
Lillooet Area Public Library,Bridge River Branch,BLP001,74,(250) 259-8242,41 Bridge River Townsite,Shalalth,BC,V0N 3B0,50.732557,-122.23187,4854,1032,n.d.,287,371,0,0,,,24,230,0,,,0,,,0,0,0,454,1,No,No,56,399,99
Lillooet Area Public Library,Gold Bridge Branch,BLP002,74,(250) 238-2521,Haylmore Street,Gold Bridge,BC,V0K 1P0,50.853689,-122.83471,4939,1520,n.d.,103,1617,23,,60,31,,102,0,,,0,,,0,0,678,0,1,No,Yes,51,531,154
Mackenzie Public Library,Mackenzie Public Library,BMK001,57,(250) 997-6343,400 Skeena Drive,Mackenzie,BC,V0J 2C0,55.338469,-123.091202,25876,15735,4659,1300,44904,28,4,283,270,16,2558,0,0,0,17,0,41,1735,910,1674,2050,1,No,Yes,582,2284,276
McBride & District Public Library,McBride & District Public Library,BMB002,57,(250) 569-2411,241 Dominion Street,McBride,BC,V0J 2E0,53.2998,-120.163099,16235,18236,4479,2028,10296,132,15,1099,81,14,1030,7,1,88,0,0,0,1820,n.a.,1115,1833,2,No,Yes,215,1678,255
McBride & District Public Library,Lena Schultz Reading Room,BMB001,57,250-553-2388,13741 Dome Creek Road,Dome Creek,BC,V0J 1H0,53.748,-121.022212,1198,612,10,676,1820,11,7,308,20,1,65,0,0,0,0,0,0,n.a.,n.a.,n.a.,588,1,No,Yes,22.3,252,102
Midway Public Library,Midway Public Library,BM001,51,(250) 449-2620,612 - 6th Avenue,Midway,BC,V0H 1M0,49.006655,-118.772044,13836,7942,1343,12400,4250,3,1,23,2,n.d.,8,0,0,n.d.,0,0,0,0,0,0,1800,2,No,No,322,1250,200
Nakusp Public Library,Nakusp Public Library,BNA001,10,(250) 265-3363,92 - 6th Avenue NW,Nakusp,BC,V0G 1R0,50.240151,-117.805153,24342,26693,5034,300,13750,40,4,380,68,3,877,0,0,0,0,0,0,0,0,838,2601,1,No,Yes,279,1266,298
Nelson Municipal Library,Nelson Municipal Library,BNE001,8,(250) 352-6333,602 Stanley Street,Nelson,BC,V1L 1N4,49.490607,-117.294603,44012,178550,74058,10293,141470,27,35,980,171,20,5508,50,10,1083,4,1,70,2350,8095,3180,4535,1,No,No,1237,2500,300
New Westminster Public Library,Main Branch,BNW001,40,(604) 527-4660,716 - 6th Avenue,New Westminster,BC,V3M 2B3,49.212106,-122.922293,179812,580505,210612,41410,418324,267,7,3673,196,184,7466,12,,,127,0,2145,22619,n.a.,n.a.,37124,3,No,No,3800,3409,343
New Westminster Public Library,Queensborough,BNW002,40,604-636-4450,920 Ewan Ave,New Westminster,BC,V3M 5C8,49.186458,-122.945466,16167,57880,36547,6651,76288,9,0,10,55,10,1037,6,0,23,0,0,0,380,n.a.,n.a.,3332,1,Yes,Yes,222,2200,302
North Vancouver City Library,North Vancouver City Library,BNV001,44,(604) 998-3450,120 West 14th Street,North Vancouver,BC,V7M 1N9,49.321066,-123.073542,137963,480589,221405,66322,467104,173,25,5706,414,151,22223,358,23,5459,n.d.,n.d.,n.d.,19290,8372,14560,24206,4,Yes,No,3345,3596,344
North Vancouver District Public Library,Lynn Valley Main,BNVD002,44,(604) 984-0286,1277 Lynn Valley Road,North Vancouver,BC,V7J 2A1,49.336693,-123.038858,76227,606274,225695,42033,452261,148,0,1804,157,48,8233,16,4,255,20,0,184,27685,10530,n.a.,29950,5,Yes,No,3716.1,3504,334
North Vancouver District Public Library,Capilano,BNVD001,44,(604) 987-4471,3045 Highland Boulevard,North Vancouver,BC,V7R 2X4,49.337232,-123.102372,107788,355254,128210,26186,211587,146,0,2206,240,57,8920,4,3,100,0,0,0,6083,1799,n.a.,14143,2,Yes,No,1114.8,3249,332
North Vancouver District Public Library,Parkgate,BNVD003,44,(604) 929-3727,3675 Banff Court,North Vancouver,BC,V7H 2Z8,49.318722,-122.969798,75525,352066,123870,18676,208398,158,0,1435,208,99,8454,3,2,69,37,0,354,6389,1445,n.a.,14846,2,No,No,1393.5,3264,332
Okanagan Regional Library District,Enderby Branch,BKO004,83,(250) 838-6488,514 Cliff Avenue,Enderby,BC,V0E 1V0,50.550263,-119.13802,15948,72149,24636,3350,39602,52,8,4087,43,3,1391,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,No,371.612,1530,204
Okanagan Regional Library District,Keremeos Branch,BKO010,53,(250) 499-2313,638 - 7th Ave,Keremeos,BC,V0X 1N0,49.205148,-119.824315,8999,40711,13250,7100,31260,14,5,526,40,4,953,0,0,0,17,0,78,n.a.,n.d.,n.d.,n.d.,1,No,Yes,207.452,1275,255
Okanagan Regional Library District,Armstrong Branch,BKO002,83,(250) 546-8311,10 - 3305 Smith Dr.,Armstrong,BC,V0E 1B1,50.447099,-119.184194,19856,89829,30642,5350,48690,55,2,546,68,3,1578,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,Yes,362.22,1785,255
Okanagan Regional Library District,Cherryville Branch,BKO003,22,(250) 547-9776,1114 Hwy. 6,Cherryville,BC,V0E 2G3,50.243805,-118.650473,2417,10933,3821,1100,4830,9,0,90,7,3,145,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,68.2837,408,102
Okanagan Regional Library District,Falkland Branch,BKO005,83,(250) 379-2705,5771 Hwy 97,Falkland,BC,V0E 1W0,50.500371,-119.559925,3972,17970,7527,1000,8286,8,0,57,27,2,611,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,92.903,765,153
Okanagan Regional Library District,Golden Branch,BKO006,6,(250) 344-6516,819 Park Avenue,Golden,BC,V0A 1H0,51.297745,-116.964029,12466,56396,17811,4300,30623,61,2,431,56,0,1059,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,Yes,390.192,1581,204
Okanagan Regional Library District,Hedley Branch,BKO007,53,(250) 292-8209,789 Scott Avenue ,Hedley,BC,V0X 1K0,49.356002,-120.077808,1925,8710,3589,500,3283,1,0,0,13,1,33,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,0,255,51
Okanagan Regional Library District,Kaleden Branch,BKO008,67,(250) 497-8066,101 Linden Avenue,Kaleden,BC,V0H 1K0,49.390167,-119.595589,4293,19420,6700,3350,10032,5,2,140,52,22,1517,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,107.303,765,153
Okanagan Regional Library District,Kelowna Branch,BKO009,23,(250) 762-2800,1380 Ellis Street,Kelowna,BC,V1Y 2A2,49.88967,-119.493544,60077,271794,94473,28200,216240,341,11,6705,387,10,18049,0,0,0,82,0,697,n.a.,n.d.,n.d.,n.d.,1,No,No,3534.403,2907,332
Okanagan Regional Library District,Lumby Branch,BKO012,22,(250) 547-9528,2250 Shields Avenue,Lumby,BC,V0E 2G0,50.251508,-118.961189,8003,36205,12245,6650,19882,59,39,431,74,13,1424,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,Yes,146.6,1275,255
Okanagan Regional Library District,Mission,BKO013,23,(250) 764-2254,4105 Gordon Dr.,Kelowna,BC,V1W 4Z1,49.83498,-119.482978,69381,313895,109684,25750,141895,91,1,833,142,5,12148,12,0,163,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,Yes,817.546,2623,331
Okanagan Regional Library District,Naramata Branch,BKO014,67,(250) 496-5679,3580 Third Street,Naramata,BC,V0H 1N0,49.596712,-119.600313,3305,14953,4947,1750,11444,36,3,226,28,2,640,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,160.908,663,153
Okanagan Regional Library District,Okanagan Falls Branch,BKO016,53,(250) 497-5886,101 - 850 Railway Lane,Okanagan Falls,BC,V0H 1R0,49.345502,-119.577837,6111,27647,9923,10400,14660,37,0,246,39,33,1785,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,234.951,1275,204
Okanagan Regional Library District,Lake Country Branch,BKO011,23,(250) 766-3141,2-10150 Bottom Wood Lake Road,Lake Country,BC,V4V 2M1,50.030339,-119.40189,21087,95401,31843,6600,40276,23,2,347,114,5,5539,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,Yes,529.547,2040,255
Okanagan Regional Library District,North Shuswap,BKO015,83,(250) 955-8198,3867 Squilax Anglemont Road,Scotch Creek,BC,V0E 1M5,50.910819,-119.4564,2998,13565,4615,1200,11348,9,0,18,26,2,334,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,144.928,1020,204
Okanagan Regional Library District,Oliver Branch,BKO017,53,(250) 498-2242,6239 Station Street ,Oliver,BC,V0H 1T0,49.183,-119.549147,19412,87821,28952,20300,51269,21,2,268,118,11,3179,1,0,125,27,0,174,n.a.,n.d.,n.d.,n.d.,1,No,Yes,492.386,1785,255
Okanagan Regional Library District,Osoyoos Branch,BKO018,53,(250) 495-7637,8505 68th Avenue,Osoyoos,BC,V0H 1V0,49.029649,-119.465142,14551,65830,22954,8750,45345,27,6,553,147,23,3889,0,0,0,8,0,75,n.a.,n.d.,n.d.,n.d.,1,No,Yes,298.497,1530,255
Okanagan Regional Library District,Oyama Branch,BKO019,23,(250) 548-3377,15718 Oyama Road,Oyama,BC,V4V 2E1,50.109279,-119.375895,1765,7985,2525,150,4529,14,0,76,26,6,1718,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,57.1353,408,102
Okanagan Regional Library District,Peachland Branch,BKO020,23,(250) 767-9111,40 - 5500 Clements Crescent,Peachland,BC,V0H 1X5,49.785926,-119.717785,7330,33160,14954,8450,23388,43,4,324,70,12,1336,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.a.,1,No,Yes,274.063,1211,200
Okanagan Regional Library District,Princeton Branch,BKO021,58,(250) 295-6495,107 Vermillion Avenue,Princeton,BC,V0X 1W0,49.459208,-120.508549,7172,32448,10451,5650,32455,47,0,295,30,0,279,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,208.009,1020,204
Okanagan Regional Library District,Revelstoke Branch,BKO022,19,(250) 837-5095,605 Campbell Avenue,Revelstoke,BC,V0E 2S0,50.99883,-118.198969,18105,81909,28744,4350,64806,187,1,1123,170,6,3666,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,Yes,318.657,1785,255
Okanagan Regional Library District,Rutland,BKO023,23,(250) 765-8165,20 - 301 Hwy. 33 W,Kelowna,BC,V1X 1X8,49.888972,-119.391389,50374,227900,77833,19800,125013,21,0,424,138,0,8666,12,0,180,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,Yes,596.809,2448,306
Okanagan Regional Library District,Salmon Arm Branch,BKO024,83,(250) 832-6161,1151 - 10th Avenue SW,Salmon Arm,BC,V1E 1T3,50.6926,-119.298671,53647,242705,85111,25150,140509,57,1,394,163,69,9869,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,Yes,839.564,2448,306
Okanagan Regional Library District,Sicamous Branch,BKO025,83,(250) 836-4845,#2 - 446 Main Street ,Sicamous,BC,V0E 2V0,50.391909,-119.22017,9068,41024,13450,700,19021,67,1,2780,72,15,4760,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,239.411,1275,204
Okanagan Regional Library District,Silver Creek,BKO026,83,(250) 832-4719,921 Salmon River Road,Salmon Arm,BC,V1E 3G3,50.692675,-119.332208,2239,10131,2957,4200,9885,43,0,235,68,3,745,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,0,No,Yes,85.5636,765,153
Okanagan Regional Library District,South Shuswap Branch,BKO027,83,(250) 675-4818 ,2676 Fairway Hills Rd  Unit 1,Blind Bay,BC,V0E 1H2,50.788946,-119.082322,11562,52308,18488,8200,35069,61,2,747,98,6,3475,2,0,18,12,0,12,n.a.,n.d.,n.d.,n.d.,0,No,Yes,317.728,1734,255
Okanagan Regional Library District,Summerland Branch,BKO028,67,(250) 494-5591,9525 Wharton Street,Summerland,BC,V0H 1Z0,49.600772,-119.678358,28394,128458,43295,12300,67506,28,3,567,120,35,4274,0,0,0,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,Yes,315.87,2040,255
Okanagan Regional Library District,Vernon Branch,BKO029,22,(250) 542-7610,3001 - 32nd Avenue,Vernon,BC,V1T 2L8,50.265328,-119.271476,111430,504128,178721,35450,239889,507,6,6382,265,28,13998,5,0,124,2,0,22,n.a.,n.d.,n.d.,n.d.,2,No,No,2787,2933,332
Okanagan Regional Library District,Westbank Branch,BKO030,23,250-768-4369,2484 Highway 97 S,West Kelowna,BC,V4T 2G2,49.840048,-119.629779,52274,236495,80861,24600,111794,123,4,1624,181,24,7536,1,0,11,0,0,0,n.a.,n.d.,n.d.,n.d.,1,No,Yes,929,2457,306
Pemberton & District Public Library,Pemberton & District Public Library,BPE001,48,(604) 894-6916,7390 Cottonwood Street,Pemberton,BC,V0N 2L0,50.32023,-122.799899,18337,79762,33050,6350,89421,107,5,779,248,5,4308,1,9,103,36,0,n.d.,1976,0,4242,1295,1,No,Yes,375,2391,349
Southern Gulf Islands Library Commission (Pender Island Public Library),Pender Island Public Library,BPI003,64,(250) 629-3722,4407 Bedwell Harbour Road,Pender Island,BC,V0N 2M0,48.797561,-123.281938,18227,28253,6839,5408,22100,69,0,1678,16,0,423,1,0,3,0,0,0,0,0,1440,841,0,No,No,316.2,1226,206
Southern Gulf Islands Library Commission (Pender Island Public Library),Mayne Island Reading Centre Society,BPI002,64,(250) 539-2597,411 Naylor Road,Mayne Island,BC,V0N 2J2,49.79529,-124.364228,8589,9864,3055,4576,7748,7,8,374,30,3,569,0,0,0,0,0,0,0,0,0,0,0,No,No,135.6,612,153
Southern Gulf Islands Library Commission (Pender Island Public Library),Galiano Island Community Library,BPI001,64,(250) 539-2141 ,2540 Sturdies Bay Road,Galiano Island,BC,V0N 1P0,48.879085,-123.318603,12533,11877,1506,3068,8580,28,2,521,3,0,152,2,0,47,1,0,3,0,0,0,125,0,No,No,241.55,765,204
Southern Gulf Islands Library Commission (Pender Island Public Library),Saturna Branch Library,BPI005,64,(250) 539-5312,140 East Point Road,Saturna Island,BC,V0N 2Y0,48.788424,-123.128983,5974,4273,187,2444,2860,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,No,Yes,86.5,459,102
Southern Gulf Islands Library Commission (Pender Island Public Library),Piers Island Library,BPI004,64,n/a,c/o Box 2223,Sidney,BC,V8L 3S8,48.704901,-123.416096,948,330,55,86,884,2,0,25,1,0,3,0,0,0,0,0,0,0,0,0,0,0,No,Yes,9.3,104,51
Penticton Public Library,Penticton Public Library,BP001,67,(250) 770-7787,785 Main Street,Penticton,BC,V2A 5E3,49.491202,-119.588557,106312,289994,87037,22675,213347,67,0,1175,180,36,5910,32,0,326,0,0,0,8537,7990,n.a.,10930,2,No,Yes,1242,2586,304
Port Moody Public Library,Port Moody Public Library,BPMP001,43,(604) 469-4575,100 Newport Drive,Port Moody,BC,V3H 3E1,49.282312,-122.829572,84033,535001,334484,20636,319313,135,8,2634,207,95,16303,8,11,656,55,4,1075,11401,3287,1826,14114,2,No,No,1161,3108,302
Pouce Coupe Public Library,Pouce Coupe Public Library,BPOC001,59,(250) 786-5765,5010 - 52nd Avenue,Pouce Coupe,BC,V0C 2C0,55.717808,-120.133229,28114,2841,1708,1527,142,2,1,318,2,0,167,2,0,247,0,0,0,0,0,1973,1002,2,No,Yes,253,1850,297
Powell River Public Library,Powell River Public Library,BPRDP001,47,(604) 485-4796,4411 Michigan Avenue,Powell River,BC,V8A 2S3,49.835023,-124.523884,48985,157903,38755,13900,128111,34,144,3436,88,28,3357,66,3,603,2,0,26,3640,1820,364,15326,2,No,Yes,531,2736,326
Prince George Public Library,Bob Harkins Library,BPG001,57,(250) 563-9251,887 Dominion Street,Prince George,BC,V2L 5L1,53.913252,-122.747224,150053,547118,166407,64090,278660,448,105,8077,320,60,12011,120,12,1611,1,1,21,13465,1952,1957,59320,3,No,No,3412,3074,328
Prince George Public Library,Nechako Branch,BPG002,57,(250) 962-9710,6547 Hart Highway,Prince George,BC,V2K 3A4,53.98958,-122.786479,26702,93120,31746,10115,74838,61,0,245,102,0,1205,11,0,33,0,0,0,0,0,0,8004,1,No,Yes,426,2685,297
Prince Rupert Library,Prince Rupert Library,BPR001,52,(250) 624-1345,101-6th Avenue West,Prince Rupert,BC,V8J 1Y9,54.313174,-130.317858,68912,52600,15677,1382,55194,183,0,1223,209,0,1771,0,0,0,2,0,6,3640,2720,0,12830,2,No,No,1290,2526,328
Radium Hot Springs Public Library,Radium Hot Springs Public Library,BRHP001,6,(250) 347-2434,Unit #2  Radium Plaza Main Street West,Radium Hot Springs,BC,V0A 1M0,50.621981,-116.071315,5780,1803,665,650,1387,0,0,0,1,2,62,0,0,0,0,0,0,0,980,980,0,1,No,No,71,539,196
Richmond Public Library,Brighouse (Main) Branch,BRI001,38,(604) 231-6422,100 - 7700 Minoru Gate,Richmond,BC,V6Y 1R8,49.16293,-123.142625,251812,1527267,817992,67910,978103,1291,39,22898,904,44,48532,39,18,5808,72,0,1039,40361,5663,0,89659,4,No,No,4584.95,3807,349
Richmond Public Library,Ironwood Branch,BRI003,38,(604) 231-6468,11688 Steveston Hwy,Richmond,BC,V7A 1N6,49.133322,-123.095352,45412,268064,147330,8206,186671,55,0,549,309,0,6072,0,0,0,6,0,19,0,4513,0,7804,2,No,No,1093.93,3686,350
Richmond Public Library,Steveston Branch,BRI004,38,(604) 274-2012,4111 Moncton Street,Richmond,BC,V7E 3A8,49.125177,-123.178441,45011,303627,174092,10938,197934,25,0,207,475,0,14994,0,0,0,0,0,0,0,1766,0,7169,2,No,No,364.09,3418,350
Richmond Public Library,Cambie Branch,BRI002,38,(604) 273-2223,150 - 11590 Cambie Road,Richmond,BC,V6X 3Z5,49.184558,-123.095055,33250,182280,104023,5154,106259,5,0,92,317,0,3833,0,0,0,0,0,0,0,3647,0,8761,2,No,No,437.76,3418,350
Rossland Public Library Association,Rossland Public Library Association,BR001,20,(250) 362-7611,2180 Columbia Avenue,Rossland,BC,V0G 1Y0,49.076853,-117.797294,15374,30258,12665,2800,49988,62,4,447,120,37,4577,0,0,0,0,0,0,0,0,2673,2643,1,No,No,321,2099,252
Salmo Public Library,Salmo Public Library,BSA001,8,(250) 357-2312,106 - 4th Street,Salmo,BC,V0G 1Z0,50.243104,-117.797759,19712,24535,6398,3871,28132,57,29,1230,76,28,1390,11,5,125,0,0,0,1,1456,1300,572,1,No,Yes,410,1400,260
Salt Spring Island Public Library,Salt Spring Island Public Library,BGSI001,64,(250) 537-4666,129 McPhillips Avenue,Salt Spring Island,BC,V8K 2T6,48.852651,-123.501603,64047,162948,48924,47300,148200,342,2,6837,150,27,4202,81,5,2148,0,0,0,3788,192,0,3974,1,No,Yes,1160,2148,306
Sechelt Public Library,Sechelt Public Library,BSE001,46,(604) 885-3260,5797 Cowrie Street,Sechelt,BC,V0N 3A0,49.472417,-123.763318,45365,164748,43520,,125600,146,1,2394,92,78,2229,5,51,20,0,0,0,2541,2765,1533,10151,2,No,Yes,517.4,2411,309
Smithers Public Library,Smithers Public Library,BS001,54,(250) 847-3043,3817 Alfred Avenue,Smithers,BC,V0J 2N0,54.779091,-127.175247,33458,83877,40897,4350,74860,56,10,1409,166,22,9455,30,0,212,2,0,37,807,1750,922,3958,2,No,No,1280,2058,300
Sparwood Public Library,Sparwood Public Library,BSPA001,5,(250) 425-2299,110 Pine Ave,Sparwood,BC,V0B 2G0,49.734432,-114.881059,25093,18046,3709,215,16000,5,1,239,12,1,1113,3,0,457,0,0,0,0,0,2300,3500,1,No,No,433,2200,280
Squamish Public Library,Squamish Public Library,BSQ001,48,(604) 892-3110,37907 - 2nd Avenue,Squamish,BC,V8B 0A7,49.697432,-123.15594,53132,179139,82946,8573,151577,48,45,2688,401,38,13355,37,1,417,0,0,n.a.,1820,0,6273,14875,3,No,No,1045,2723,349
Stewart Public Library,Stewart Public Library,BSP001,82,(250) 636-2380,824 A Main Street,Stewart,BC,V0T 1W0,55.45665,-129.473308,17921,712,315,,1232,1,0,12,2,2,420,0,2,70,0,0,0,0,1243,0,562,1,No,Yes,125.5,980,176
Surrey Public Library,City Centre,BSUR001,36,(604) 598-7420 ,10350 University Drive,Surrey,BC,V3T 4B8,49.19131,-122.849808,140488,424233,242315,97968,608348,146,84,8337,507,75,25567,106,3,1250,51,1,1164,26743,13860,n.a.,36162,9,Yes,No,7153.5,3575,347
Surrey Public Library,Cloverdale,BSUR002,36,(604) 598-7320,5642 - 176A Street,Surrey,BC,V3S 4G9,49.107276,-122.760497,62311,312301,199604,26676,180583,77,2,1695,203,72,13771,16,2,422,2,0,15,6790,4166,n.a.,10694,2,No,No,1022,3225,347
Surrey Public Library,Fleetwood,BSUR003,36,(604) 598-7340,15996 - 84th Avenue,Surrey,BC,V4N 0W1,49.155404,-122.779226,78132,365875,254438,48945,242073,62,16,873,552,37,21089,39,44,3188,0,21,273,5939,3248,n.a.,11257,2,No,Yes,1236,3225,347
Surrey Public Library,Guildford,BSUR004,36,604) 598-7360,15105 - 105th Avenue,Surrey,BC,V3R 7G8,49.193243,-122.803609,144824,769263,497929,77831,533494,598,4,7146,347,87,41862,81,14,1486,139,3,1356,15597,19468,n.a.,33089,5,No,Yes,2899,3225,347
Surrey Public Library,Newton,BSUR005,36,(604) 598-7400,13795 - 70th Avenue,Surrey,BC,V3W 0E1,49.129975,-122.838988,97673,417145,264054,44915,279565,84,6,137,325,86,20223,41,3,989,22,0,207,7955,5910,n.a.,14526,3,No,No,1366,3225,347
Surrey Public Library,Ocean Park,BSUR006,36,(604) 502-6304,12854 - 17th Avenue,Surrey,BC,V4A 1T5,49.033003,-122.8656,43332,256023,137742,17667,175825,240,0,1399,188,8,8643,18,1,311,9,0,125,3797,1738,n.a.,8621,2,No,No,604,3225,347
Surrey Public Library,Port Kells,BSUR007,36,(604) 598-7440,18885 - 88th Avenue,Surrey,BC,V3S 5X7,49.16281,-122.790169,13502,27426,14103,1833,9022,31,0,206,89,12,3075,1,0,9,0,0,0,n.a.,1867,1694,1386,1,No,No,111,1280,347
Surrey Public Library,Semiahmoo Library,BSUR008,36,(604) 592-6900,1815 - 152nd Street,Surrey,BC,V4A 9Y9,49.035002,-122.801187,96031,497473,290220,47723,180583,286,2,1543,230,35,11461,28,2,557,77,0,481,6311,4905,n.a.,13419,3,Yes,Yes,2062,3225,347
Surrey Public Library,Strawberry Hill,BSUR009,36,(604) 501-5836,7399 - 122nd Street,Surrey,BC,V3W 5J2,49.136445,-122.884575,67273,340242,228353,34502,275353,140,0,1084,283,23,10816,21,2,973,362,18,1538,4422,4723,n.a.,11522,3,No,No,1041,3225,347
