Library System,Branch Name,1x Branch Unique ID,School District Served,Phone,Physical Address,City,Province,Postal Code,Latitude,Longitude,"460x Total branch physical materials, volumes held",556x Branch circulation of print and other physical materials,565x Branch circulation of children's materials,610x Branch reference transactions,775x In person visits to this branch or service point,680x Branch in-library adult programs,682x Branch outreach adult programs,690x Attendance at adult programs,700x Branch in-library children's programs,702x Branch outreach children's programs,710x Attendance at children's programs,715x Branch in-library young adult programs,717x Branch outreach young adult programs,716x Attendance at young adult programs,"671x Branch in-library newcomer/ELL programs, all ages","673x Branch outreach newcomer/ELL programs, all ages",672x Attendance at branch newcomer/ELL programs,"740x Professional Librarians, hours worked at this branch","742x Library Technicians, hours worked at this branch","752x Community Librarians, hours worked at this branch","770x Other Staff, hours worked at this branch",975x Number of photocopiers in library branch,852x Is this location LEED certified?,854x Is this location a Shared Space facility?,"860x Branch space/size, total square metres",890x Hours open per year at this location,920x Days open per year at this location
Taylor Public Library,Taylor Public Library,BTA001,60,(250) 789-9878,10008 - 104 Ave,Taylor,BC,V0C 2K0,56.153335,-120.683744,9096,2269,1055,650,2092,26,2,109,4,3,277,6,3,30,0,0,0,,,1384,927,1,No,No,1664,1686,250
Terrace Public Library,Terrace Public Library,BTE001,82,(250) 638-8177,4610 Park Avenue,Terrace,BC,V8G 1V6,54.518129,-128.587312,55676,122963,41148,14395,151182,32,61,1100,107,9,4354,41,3,310,0,0,0,1820,1456,2570,19071,2,No,Yes,1350,3124,345
Thompson-Nicola Regional District Library System,TNRDLS Administration,BKCT001,73,250-374-8866,300-465 Victoria Street,Kamloops,BC,V2C 2A9,50.675866,-120.330497,751,3391,597,4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,3276,1326,n.a.,18206,1,No,No,883,n.a.,n.a.
Thompson-Nicola Regional District Library System,Kamloops Branch,BKCT010,73,(250) 372-5145,100 - 465 Victoria Street,Kamloops,BC,V2C 2A9,50.675866,-120.330497,87107,236384,98375,39884,173509,189,7,1193,403,107,12339,9,27,183,1,0,12,4424,2973,n.a.,21845,3,No,Yes,1765,2806,335
Thompson-Nicola Regional District Library System,Ashcroft Branch,BKCT002,74,(250) 453-9042,201 Brink Street,Ashcroft,BC,V0K 1A0,50.725522,-121.280626,14459,20674,4953,2357,10414,114,1,627,28,1,198,0,1,75,0,0,0,n.a.,n.a.,991,1043,1,No,No,334,1352,256
Thompson-Nicola Regional District Library System,Barriere Branch,BKCT003,73,(250) 672-5811,4511 Barriere Town Road,Barriere,BC,V0E 1E0,51.18586,-120.142364,13797,25700,5041,2953,12663,4,0,47,37,0,297,0,0,0,0,0,0,n.a.,n.a.,1288,736,1,No,No,313,1352,256
Thompson-Nicola Regional District Library System,Blue River Branch,BKCT004,73,(250) 673-8235,829 Cedar Street,Blue River,BC,V0E 1J0,52.10771,-119.307739,3980,2849,645,712,1793,0,0,0,34,0,276,0,0,0,0,0,0,n.a.,n.a.,n.a.,952,1,No,No,94,816,204
Thompson-Nicola Regional District Library System,Cache Creek Branch,BKCT006,74,(250) 457-9953,1390 Quartz Road,Cache Creek,BC,V0K 1H0,50.813935,-121.324914,7612,11262,1563,2104,5580,25,0,113,11,0,65,0,0,0,1,0,3,n.a.,n.a.,n.a.,881,1,No,No,130,816,204
Thompson-Nicola Regional District Library System,Chase Branch,BKCT007,73,(250) 679-3331,614 Shuswap Avenue,Chase,BC,V0E 1M0,50.818971,-119.690258,14316,27021,6075,8087,14073,48,5,201,79,0,788,8,0,44,0,0,0,n.a.,n.a.,738,1554,1,No,No,308,1560,256
Thompson-Nicola Regional District Library System,Clearwater Branch,BKCT008,73,(250) 674-2543,422 Murtle Crescent,Clearwater,BC,V0E 1N0,51.6497,-120.038295,14917,35130,9139,1613,14055,4,0,68,27,0,387,0,0,0,0,0,0,n.a.,n.a.,976,1373,1,No,No,284,1560,256
Thompson-Nicola Regional District Library System,Clinton Branch,BKCT009,74,(250) 459-7752,1506 Tingley Street,Clinton,BC,V0K 1K0,51.09215,-121.582649,7457,9523,2069,1194,4347,46,6,286,8,0,51,13,0,99,0,0,0,n.a.,n.a.,n.a.,941,1,No,No,184,816,204
Thompson-Nicola Regional District Library System,Logan Lake Branch,BKCT011,73,(250) 523-6745,70 - 150 Opal Dr.,Logan Lake,BC,V0K 1W0,50.49465,-120.819329,14253,32099,10870,11219,15164,16,7,248,62,0,1157,1,0,1,1,0,12,n.a.,n.a.,1165,1044,1,No,No,186,1560,256
Thompson-Nicola Regional District Library System,Lytton Branch,BKCT012,74,(250) 455-2521,121 Fourth Street,Lytton,BC,V0K 1Z0,50.231335,-121.581809,6750,9638,2724,652,4835,6,0,24,209,0,337,1,0,2,0,0,0,n.a.,n.a.,n.a.,933,1,No,Yes,100,816,204
Thompson-Nicola Regional District Library System,Merritt Branch,BKCT013,58,(250) 378-4737,1691 Garcia Street,Merritt,BC,V1K 1B8,50.108473,-120.788262,29908,98146,33774,14895,53209,314,5,1996,810,2,3206,51,0,167,3,0,9,1582,1286,n.a.,5674,1,No,No,728,2096,256
Thompson-Nicola Regional District Library System,North Kamloops Branch,BKCT014,73,(250) 554-1124,693 Tranquille Road,Kamloops,BC,V2B 3H7,50.698889,-120.363726,64652,262245,66207,38003,132961,195,2,1254,308,23,9260,19,0,66,1,0,2,3148,1439,n.a.,16473,2,Yes,Yes,1271,2737,301
Thompson-Nicola Regional District Library System,Savona Branch,BKCT016,73,(250) 373-2666,60 Savona Street,Savona,BC,V0K 2J0,50.7531,-120.842679,6529,9194,2633,2947,4801,39,0,216,120,0,1463,2,0,8,0,0,0,n.a.,n.a.,n.a.,1211,1,No,No,130,816,204
Thompson-Nicola Regional District Library System,Bookmobile,BKCT005,n/a,1-855-552-2665,693 Tranquille Road,Kamloops,BC,V2B 3H7,50.698889,-120.363726,8869,35138,8945,8330,7464,0,7,1632,0,0,0,0,0,0,0,0,0,n.a.,1512,n.a.,1935,0,No,Yes,0,641,180
Thompson-Nicola Regional District Library System,Readers' Home Service,BKCT015,73,1-800-552-2665,693 Tranquille Road,Kamloops,BC,V2B 3H7,50.698889,-120.363726,3736,22990,436,373,n.a.,16,1674,4186,0,23,2381,9,11,332,0,0,0,2919,n.a.,n.a.,2661,0,Yes,Yes,634,n.a.,n.a.
Trail & District Public Library,Trail & District Public Library,BT001,20,(250) 364-1731,1051 Victoria Street,Trail,BC,V1R 3T3,49.097866,-117.709223,49350,50840,14250,4977,41594,23,16,330,187,73,6292,0,2,25,0,0,0,3500,1238,0,6152,1,No,No,522,2454,292
Tumbler Ridge Public Library,Tumbler Ridge Public Library,BTR001,59,(250) 242-4778,340 Front Street,Tumbler Ridge,BC,V0C 2W0,55.125356,-121.000472,34309,17595,3160,6340,90168,73,0,655,525,8,10133,14,1,74,6,3,25,0,1950,637,7460,1,No,Yes,450,2933,358
Valemount Public Library,Valemount Public Library,BVALE001,57,(250) 566-4367,1090A Main Street,Valemount,BC,V0E 2Z0,52.83702,-119.265109,16505,18680,2511,500,7900,50,2,291,21,0,278,1,0,16,0,0,0,0,0,3129,397,1,No,No,144,1821,252
Vancouver Island Regional Library,Headquarters,BNVI038,68,n/a,6250 Hammond Bay Road,Nanaimo,BC,V9R 5N3,49.234736,-124.038734,5926,26515,2629,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,5461,0,0,81804,11,No,No,1058,0,0
Vancouver Island Regional Library,Bella Coola Branch,BNVI001,49,(250) 799-5330,450 MacKenzie St,Bella Coola,BC,V0T 1C0,52.37201,-126.757864,9683,27310,7722,2980,14366,4,1,75,23,3,833,2,0,5,n.d.,n.d.,n.d.,0,0,0,2198,3,No,Yes,158,1100,205
Vancouver Island Regional Library,Bowser Branch,BNVI002,69,(250) 757-9570,6996 Island Highway West,Bowser,BC,V0R 1G0,49.435724,-124.67665,7260,15549,1781,874,13173,21,1,268,0,0,0,1,0,15,n.d.,n.d.,n.d.,0,0,0,1413,2,No,Yes,125,1022,204
Vancouver Island Regional Library,Campbell River Branch,BNVI003,72,(250)287-3655,1240 Shopper's Row,Campbell River,BC,V9W 2C8,50.027378,-125.245379,46674,221568,50364,16368,177814,64,6,952,107,22,6614,16,4,1201,n.d.,n.d.,n.d.,4526,1831,0,12428,3,No,Yes,900,2895,353
Vancouver Island Regional Library,Chemainus Branch,BNVI004,79,(250) 246-9471,2592 Legion Street,Chemainus,BC,V0R 1K0,48.922375,-123.718821,10152,40069,4186,3173,29921,23,0,345,25,6,657,5,1,45,n.d.,n.d.,n.d.,0,0,0,2911,3,No,Yes,113,1863,302
Vancouver Island Regional Library,Comox Branch,BNVI005,71,(250) 339-2971,1720 Beaufort Avenue,Comox,BC,V9M 1R7,49.671709,-124.923911,24758,154723,38421,4586,89371,71,7,865,107,13,3567,2,0,26,n.d.,n.d.,n.d.,1207,582,0,7483,2,No,Yes,497,2579,302
Vancouver Island Regional Library,Cortes Island Branch,BNVI006,72,(250) 935-6566,Sutil Point Road,Mansons Landing,BC,V0P 1K0,50.067433,-124.982959,6077,17704,4910,843,5221,12,1,34,17,0,276,5,0,103,n.d.,n.d.,n.d.,0,0,0,1255,1,No,Yes,126,1022,204
Vancouver Island Regional Library,Courtenay Branch,BNVI007,71,(250) 334-3369,300 - 6th Street,Courtenay,BC,V9N 9V9,49.690244,-124.997863,60812,310655,77496,19556,219793,271,5,2262,171,10,4289,10,0,344,n.d.,n.d.,n.d.,5431,978,0,15194,3,No,No,1163,2896,353
Vancouver Island Regional Library,Cowichan Branch,BNVI008,79,(250) 746-7661,2687 James Street,Duncan,BC,V9L 2X5,48.7821,-123.704142,59887,339792,82990,9483,257217,128,15,1852,191,35,6848,14,3,700,n.d.,n.d.,n.d.,5204,8,0,15267,4,No,Yes,1189,2895,353
Vancouver Island Regional Library,Cowichan Lake Branch,BNVI009,79,(250) 749-3431,38 King George Street,Lake Cowichan,BC,V0R 2G0,48.82478,-124.05367,14204,64963,12305,7216,41433,15,0,369,113,2,1475,3,1,26,n.d.,n.d.,n.d.,1596,0,0,4613,3,No,Yes,327,2257,256
Vancouver Island Regional Library,Cumberland Branch,BNVI010,71,(250) 336-8121,2724 Dunsmuir Avenue,Cumberland,BC,V0R 1S0,49.619054,-125.028427,10030,36897,15132,4891,26688,17,1,247,64,5,1894,4,1,22,n.d.,n.d.,n.d.,0,0,0,3745,2,No,No,286,1792,256
Vancouver Island Regional Library,Gabriola Island Branch,BNVI011,68,(250) 247-7878,5 - 575 North Road,Gabriola Island,BC,V0R 1X5,49.049587,-124.176893,14712,94124,15177,6057,79000,173,15,3200,148,3,2838,4,1,101,n.d.,n.d.,n.d.,1824,0,0,6256,2,No,Yes,293,2102,256
Vancouver Island Regional Library,Gold River Branch,BNVI012,84,(250) 283-2502,396 Nimpkish Drive,Gold River,BC,V0P 1G0,49.78481,-126.054164,8897,18948,4096,3298,10329,7,1,158,31,4,1021,1,0,30,n.d.,n.d.,n.d.,0,0,0,1694,2,No,Yes,143,1048,204
Vancouver Island Regional Library,Hornby Island Branch,BNVI013,71,(250) 335-0044,1765 Sollans Road,Hornby Island,BC,V0R 1Z0,49.53205,-124.664679,5637,34235,4098,958,n.d.,5,0,25,30,0,345,1,0,15,n.d.,n.d.,n.d.,0,0,0,1562,2,No,No,77,1330,256
Vancouver Island Regional Library,Ladysmith Branch,BNVI014,68,(250) 245 2322,#3 - 740 First Avenue,Ladysmith,BC,V9G 1A3,48.995162,-123.820195,24550,118190,24202,7487,96804,14,3,117,21,1,465,4,0,126,n.d.,n.d.,n.d.,1820,0,0,7052,2,No,Yes,400,2579,302
Vancouver Island Regional Library,Masset Branch,BNVI015,50,(250) 626-3663,2123 Collison,Masset,BC,V0T 1M0,54.013335,-132.151854,9092,28630,8149,1726,18005,24,9,251,46,20,1223,10,3,140,n.d.,n.d.,n.d.,0,1083,0,1396,3,No,No,147,1022,204
Vancouver Island Regional Library,Nanaimo Harbourfront Branch,BNVI016,68,(250) 753-1154,90 Commercial Street,Nanaimo,BC,V9R 5G4,49.165401,-123.936855,40659,213803,47662,44475,215125,406,15,7347,157,27,7946,20,6,2890,n.d.,n.d.,n.d.,13083,0,0,14513,10,No,No,2323,2895,353
Vancouver Island Regional Library,Nanaimo North,BNVI039,85,(250) 281-2263,4503B Railway Ave,Woss,BC,V0N 3P0,50.217,-126.59,58172,376745,127950,21124,207981,209,7,2795,275,24,15479,6,1,344,n.d.,n.d.,n.d.,4849,0,0,17118,3,No,No,1636,2896,353
Vancouver Island Regional Library,Nanaimo Wellington Branch,BNVI017,68,(250) 758-5544,3032 Barons Road,Nanaimo,BC,V9T 4B5,49.20783,-124.004216,30540,147272,44600,5632,117773,105,13,840,139,32,6965,9,0,237,n.d.,n.d.,n.d.,3640,7,0,11413,2,No,Yes,399,2717,302
Vancouver Island Regional Library,Parksville Branch,BNVI018,69,(250) 248-3841,100 Jensen Avenue E,Parksville,BC,V9P 2G6,49.31833,-124.312432,34911,232067,40145,7781,191448,124,5,1798,133,12,8514,47,1,601,n.d.,n.d.,n.d.,2486,0,0,11851,2,No,Yes,582,2895,353
Vancouver Island Regional Library,Port Alberni Branch,BNVI019,70,(250) 723-9511,4245 Wallace Unit B,Port Alberni,BC,V9Y 3Y6,49.233985,-124.807574,35072,125293,27385,3719,102108,75,10,1040,197,42,6491,38,0,588,n.d.,n.d.,n.d.,3430,0,0,9143,3,No,Yes,697,2717,302
Vancouver Island Regional Library,Port Alice Branch,BNVI020,85,(250) 284-3554,951 Marine Drive,Port Alice,BC,V0N 2N0,50.42545,-127.486774,6763,7801,2390,781,7220,28,0,187,17,3,264,3,0,12,n.d.,n.d.,n.d.,0,0,0,1234,2,No,Yes,113,1022,204
Vancouver Island Regional Library,Port Clements Branch,BNVI021,50,(250) 557-4402,35 Cedar Avenue W.,Port Clements,BC,V0T 1R0,53.68779,-132.16135,5337,22091,4145,709,14393,53,1,478,24,20,454,16,0,115,n.d.,n.d.,n.d.,0,0,0,1284,2,No,Yes,93,1075,205
Vancouver Island Regional Library,Port Hardy Branch,BNVI022,85,(250) 949-6661,7110 Market,Port Hardy,BC,V0N 2P0,50.721093,-127.492257,12457,45935,8847,2134,87467,30,1,487,39,6,1431,12,0,72,n.d.,n.d.,n.d.,0,1235,0,2299,2,No,Yes,251,1485,256
Vancouver Island Regional Library,Port McNeill Branch,BNVI023,85,(250) 956-3669,4 - 1584 Broughton Blvd.,Port McNeill,BC,V0N 2R0,50.589665,-127.08667,11504,23951,7121,4509,14595,11,1,572,92,0,3055,2,0,3,n.d.,n.d.,n.d.,0,0,0,1819,3,No,Yes,143,1180,205
Vancouver Island Regional Library,Port Renfrew Branch,BNVI024,62,(250) 647-5423,6633 Deering Road,Port Renfrew,BC,V0S 1K0,48.576422,-124.40907,5086,10666,1072,586,6083,8,0,70,9,1,66,2,0,38,n.d.,n.d.,n.d.,0,0,0,1217,1,No,Yes,67,975,205
Vancouver Island Regional Library,Quadra Island Branch,BNVI025,72,(250) 285-2216,712 Cramer Road,Quadra Island,BC,V0P 1H0,50.101533,-125.213598,16158,93229,18810,1984,40335,32,0,126,21,4,550,0,0,0,n.d.,n.d.,n.d.,0,12,0,4363,2,No,Yes,298,1792,256
Vancouver Island Regional Library,Qualicum Beach Branch,BNVI026,69,(250) 752-6121,660 Primrose Street,Qualicum Beach,BC,V9K 1S9,49.347486,-124.444331,32068,173011,29345,11875,114442,23,1,586,76,5,1995,3,0,83,n.d.,n.d.,n.d.,3573,0,0,8922,2,No,Yes,636,2717,302
Vancouver Island Regional Library,Queen Charlotte Branch,BNVI027,50,(250) 559-4518,138 Bay,Queen Charlotte City,BC,V0T 1S0,53.266063,-132.12209,12009,38695,5370,2689,30625,39,29,758,49,9,1144,3,5,259,n.d.,n.d.,n.d.,1816,0,0,2546,3,No,Yes,111,1148,204
Vancouver Island Regional Library,Sandspit Branch,BNVI028,50,(250) 637-2247,Seabreeze Plaza,Sandspit,BC,V0T 1T0,53.23702,-131.844091,4453,10826,1781,1058,9678,0,0,0,10,30,439,3,4,71,n.d.,n.d.,n.d.,0,0,0,1154,1,No,Yes,56,1026,205
Vancouver Island Regional Library,Sayward Branch,BNVI029,72,(250) 282-5551,641C Kelsey Way,Sayward,BC,V0P 1R0,50.378652,-125.95894,3038,6760,1525,118,1133,4,1,17,0,2,54,1,0,27,n.d.,n.d.,n.d.,0,0,0,930,2,No,Yes,56,1026,205
Vancouver Island Regional Library,Sidney/North Saanich Branch,BNVI030,63,(250) 656-0944,10091 Resthaven Drive,Sidney,BC,V8L 3G3,48.655232,-123.402751,40918,194427,39929,6555,128235,91,20,1880,85,11,8458,13,1,321,n.d.,n.d.,n.d.,3643,0,0,11971,4,No,Yes,527,2895,353
Vancouver Island Regional Library,Sointula Branch,BNVI031,85,(250) 973-6493,280 1st Street,Sointula,BC,V0N 3E0,50.641414,-127.028812,9109,22789,2404,1215,26190,17,0,90,22,1,221,9,0,92,n.d.,n.d.,n.d.,0,0,0,1468,2,No,Yes,82,1026,205
Vancouver Island Regional Library,Sooke Branch,BNVI032,62,(250) 642-3022,2065 Anna Marie Road,Sooke,BC,V9Z 0A4,48.379663,-123.7192,22999,105670,32507,8807,83324,40,2,441,30,3,1931,2,0,67,n.d.,n.d.,n.d.,700,0,0,5481,3,No,No,343,2285,302
Vancouver Island Regional Library,South Cowichan Branch,BNVI033,79,(250) 743-5436,310 - 2720 Mill Bay Road,Mill Bay,BC,V0R 2P0,48.6526,-123.5587,23676,109110,31541,5031,74387,65,3,549,67,16,3011,19,0,340,n.d.,n.d.,n.d.,1575,819,0,6600,2,No,Yes,307,2426,302
Vancouver Island Regional Library,Tahsis Branch,BNVI034,84,(250) 934-6621,977  Maquinna Drive S,Tahsis,BC,V0P 1X0,49.923965,-126.661451,5526,5979,956,435,4900,7,2,45,4,2,43,3,0,4,n.d.,n.d.,n.d.,0,0,0,1198,2,No,Yes,84,1026,205
Vancouver Island Regional Library,Tofino Branch,BNVI035,70,(250) 725-3713,331 Main Street,Tofino,BC,V0R 2Z0,49.153938,-125.907328,9477,20468,9081,283,19064,3,0,26,47,0,466,1,0,3,n.d.,n.d.,n.d.,0,0,0,1567,3,No,Yes,93,1022,204
Vancouver Island Regional Library,Ucluelet Branch,BNVI036,70,(250) 726-4642,500 Matterson Dr,Ucluelet,BC,V0R 3A0,48.945053,-125.558933,7849,24049,8118,367,17405,1,0,81,32,1,569,7,0,13,n.d.,n.d.,n.d.,0,0,0,1819,1,No,Yes,118,1022,204
Vancouver Island Regional Library,Union Bay Branch,BNVI037,71,(250) 335-2433,5527 Island Highway,Union Bay,BC,V0R 3B0,49.618,-124.89,4420,9732,1177,205,n.d.,2,0,16,1,0,14,0,0,0,n.d.,n.d.,n.d.,0,6,0,998,0,No,Yes,27,812,152
Vancouver Island Regional Library,Woss Branch,BNVI039,85,(250) 281-2263,4503B Railway Ave,Woss,BC,V0N 3P0,50.217,-126.59,3182,2988,798,225,6364,3,0,23,31,0,201,4,0,16,n.d.,n.d.,n.d.,0,0,0,1280,2,No,No,42,1022,204
Vancouver Public Library,Britannia Branch,BVA001,39,(604) 665-2222,1661 Napier,Vancouver,BC,V5L 4X4,49.274931,-123.070318,56546,267310,105599,11320,263971,55,17,1133,211,83,12012,32,13,513,3,1,93,4030,3076,0,10220,1,No,Yes,901,3241,354
Vancouver Public Library,Carnegie Branch,BVA002,39,(604) 665-3010,401 Main Street,Vancouver,BC,V6A 2T7,49.281272,-123.099827,23136,168714,4438,65288,404851,43,3,716,0,0,0,0,0,0,0,0,0,2340,572,0,11364,1,No,Yes,179,4104,348
Vancouver Public Library,Champlain Heights Branch,BVA004,39,(604) 665-3955,7110 Kerr Street,Vancouver,BC,V5S 4W2,49.218627,-123.041505,50801,303836,141636,19350,182666,88,14,601,174,57,7428,17,1,283,24,2,151,5817,2054,0,9152,1,No,Yes,776,2559,311
Vancouver Public Library,Collingwood Branch,BVA005,39,(604) 665-3953,2985 Kingsway,Vancouver,BC,V5R 5J4,49.236137,-123.04283,21998,108593,44835,8284,77770,66,11,751,129,64,6608,23,2,495,49,1,286,1918,2054,0,6696,1,No,No,483,2298,311
Vancouver Public Library,Dunbar Branch,BVA006,39,(604) 665-3968,4515 Dunbar Street,Vancouver,BC,V6S 2G7,49.245986,-123.1853,42951,249323,94127,9909,145683,61,3,586,203,44,7469,7,0,94,1,0,10,3009,2704,0,8320,1,No,No,595,2340,311
Vancouver Public Library,Firehall Branch,BVA007,39,(604) 665-3970,1455 West 10th Avenue,Vancouver,BC,V6H 1J8,49.262674,-123.137671,29415,238491,55659,13173,154660,26,17,443,112,33,5195,0,0,0,0,0,0,3732,1690,0,7986,1,No,Yes,616,2359,311
Vancouver Public Library,Fraserview Branch,BVA008,39,(604) 665-3957,1950 Argyle Drive,Vancouver,BC,V5P 2A8,49.219808,-123.067061,30495,165592,66382,8107,132908,86,30,828,172,81,6749,52,0,727,23,11,582,3789,1274,0,7072,1,No,No,750,2359,309
Vancouver Public Library,Hastings Branch,BVA009,39,(604) 665-3959,2674 East Hastings Street,Vancouver,BC,V5K 1Z6,49.281101,-123.050147,47679,258637,87321,12961,163484,80,7,525,161,72,6765,37,1,560,8,1,37,3849,3666,0,8580,1,No,No,822,2565,311
Vancouver Public Library,Joe Fortes Branch,BVA010,39,(604) 665-3972,870 Denman Street,Vancouver,BC,V6G 2L8,49.290776,-123.136434,40481,361965,61681,38548,306157,53,2,687,217,97,8477,10,1,195,5,0,15,4360,2938,0,11514,2,No,No,438,3010,354
Vancouver Public Library,Kensington Branch,BVA011,39,(604) 665-3961,1428 Cedar Cottage Mews,Vancouver,BC,V5N 5Z1,49.249333,-123.076218,49394,249029,124135,17402,162991,115,6,1302,248,74,10667,37,0,339,33,2,363,3846,1794,0,8394,1,No,Yes,676,2354,311
Vancouver Public Library,Kerrisdale Branch,BVA012,39,(604) 665-3974,2112 West 42nd Avenue,Vancouver,BC,V6M 2B6,49.233618,-123.156225,42926,304651,118467,15074,211489,6,11,322,182,27,6727,26,0,277,0,1,16,3784,2418,0,8996,1,No,Yes,530,2562,311
Vancouver Public Library,Kitsilano Branch,BVA013,39,(604) 665-3976,2425 Macdonald Street,Vancouver,BC,V6K 3Y9,49.26465,-123.16854,62445,518408,172967,34536,312838,70,11,949,185,45,10410,9,1,195,1,0,19,5840,3963,0,13130,2,No,No,883,3213,354
Vancouver Public Library,Marpole Branch,BVA014,39,(604) 665-3978,8386 Granville Street,Vancouver,BC,V6P 4Z7,49.210001,-123.14029,31050,188354,55639,13871,133888,43,9,503,158,30,4341,18,0,292,33,0,280,3703,1560,0,7960,1,No,No,332,2384,311
Vancouver Public Library,Mount Pleasant Branch,BVA015,39,(604) 665-3962,1 Kingsway,Vancouver,BC,V5T 3H7,49.264073,-123.100364,59967,410513,133733,25667,426668,147,8,1912,266,69,16174,28,11,504,12,3,261,7861,4956,0,14768,2,Yes,Yes,1115,3915,354
Vancouver Public Library,neca?mat ct Strathcona Branch,BVA023,39,(604) 665-3967,730 East Hastings Street,Vancouver,BC,V6A 1R5,49.25454615,-123.1072302,,,,,,35,56,857,111,215,5527,11,28,910,,,,,,0,,,,,,,
Vancouver Public Library,Oakridge Branch,BVA016,39,(604) 665-3980,191 - 650 West 41st Avenue,Vancouver,BC,V5Z 2M9,49.233625,-123.12042,66672,482242,179671,23110,180536,165,35,2108,172,67,10296,34,1,354,31,0,322,6512,2720,0,14237,2,No,Yes,1210,3204,354
Vancouver Public Library,Renfrew Branch,BVA018,39,(604) 257-8705,2969 East 22nd Avenue,Vancouver,BC,V5M 2Y3,49.250885,-123.04287,74922,476001,225960,29445,332333,92,25,1136,286,43,11180,71,5,1553,26,3,284,5836,3188,0,13455,1,No,No,1486,3213,354
Vancouver Public Library,South Hill Branch,BVA019,39,(604) 665-3965,6076 Fraser Street,Vancouver,BC,V5W 2Z7,49.2296,-123.090547,33453,197675,82142,16385,148467,68,5,745,120,41,4884,12,1,65,28,2,368,3745,1092,0,8709,1,No,No,468,2394,309
Vancouver Public Library,Strathcona Branch,BVA020,39,(604) 665-3967,592 East Pender Street,Vancouver,BC,V6A 1V5,49.280215,-123.091958,,,,,,,,,,,,,,,,,,,,,,,,,325,1206,177
Vancouver Public Library,Terry Salman Branch,BVA021,39,(604) 665-3964,4575 Clancy Loranger Way,Vancouver,BC,V5Y 2M4,49.254571,-123.107211,52114,456153,283585,22640,258860,49,14,683,266,28,12307,6,0,24,7,1,106,4004,4836,0,15118,1,No,Yes,705,3914,354
Vancouver Public Library,West Point Grey Branch,BVA022,39,(604) 665-3982,4480 West 10th Avenue,Vancouver,BC,V6R 2H9,49.26388,-123.20762,37580,265462,107168,16448,166659,13,7,241,148,35,5844,25,4,401,0,0,0,3799,1690,0,8709,1,No,No,474,2462,310
Vancouver Public Library,Central Library,BVA003,39,(604) 331-3603,350 West Georgia Street,Vancouver,BC,V6B 6B1,49.280404,-123.115175,1201794,1608655,335217,290821,1848817,1008,57,25678,995,118,38948,127,4,2017,171,16,5056,135413,72194,0,337480,30,No,Yes,32499,3348,354
Vancouver Public Library,Accessible Services,BVA017,39,604-331-4100,345 Robson St,Vancouver,BC,V6B 6B3,49.279222,-123.11624,19208,55525,907,48745,2825,0,17,337,0,0,0,0,0,0,0,0,0,1915,3640,0,5252,0,No,No,271,1876,259
Vanderhoof Public Library,Vanderhoof Public Library,BVDH001,91,(250) 567-4060,230 Stewart Drive,Vanderhoof,BC,V0J 3A0,54.014086,-124.008737,21682,34554,16814,1900,6850,42,0,332,97,1,2071,20,0,0,0,0,0,0,0,1976,3848,1,No,No,616,1900,238
West Vancouver Memorial Library,West Vancouver Memorial Library,BWV001,45,(604) 925-7400,1950 Marine Drive,West Vancouver,BC,V7V 1J8,49.329034,-123.16538,205700,762197,267553,94730,509624,471,13,10273,445,106,18933,31,4,1046,232,0,3083,31668,16816,0,36327,5,Yes,No,5117,3215,338
Whistler Public Library,Whistler Public Library,BW001,48,(604) 935-8433,4329 Main Street,Whistler,BC,V0N 1B4,50.117127,-122.956295,43687,188385,78535,32904,221317,397,2,6015,442,99,13599,34,17,436,234,52,1735,8528,1560,0,15277,3,Yes,No,1154,2828,353