Library System,Library Branch,Latitude,Longitude 
London Public Library,Beacock,43.019286,-81.218812
London Public Library,Bostwick,42.938314,-81.28821
London Public Library,Byron,42.960497,-81.334526
London Public Library,Carson,42.994484,-81.22019
London Public Library,Central,42.984592,-81.246344
London Public Library,Cherryhill,42.990514,-81.27426
London Public Library,Crouch,42.980786,-81.215091
London Public Library,East London,43.00751,-81.168351
London Public Library,Glanworth,42.86686,-81.195291
London Public Library,Jalna,42.931793,-81.228597
London Public Library,Lambeth,42.910304,-81.30462
London Public Library,Landon,42.97213,-81.253204
London Public Library,Masonville,43.02543,-81.275301
London Public Library,Pond Mills,42.962636,-81.196771
London Public Library,Sherwood,43.004436,-81.306023
London Public Library,Stoney Creek,43.047947,-81.25766