FID,Address,Library,URL,X,Y
0,1075 Ypres Ave,W.F. Bill Chisholm Library,http://www.windsorpubliclibrary.com/?page_id=126,-83.004504042500002,42.292509559899997
1,3030 Rivard Ave,Fontainbleau Library,http://www.windsorpubliclibrary.com/?page_id=126,-82.953232313100003,42.295242790700001
2,850 Ouellette Ave,Central Resource Library,http://www.windsorpubliclibrary.com/?page_id=126,-83.034305596099998,42.311261839200000
3,3312 Sandwich St,Sandwich Library,http://www.windsorpubliclibrary.com/?page_id=126,-83.077888742599995,42.299651360500000
4,3211 Forest Glade Dr,Forest Glade - Optimist Library,http://www.windsorpubliclibrary.com/?page_id=126,-82.915842685699999,42.303059624799999
5,6305 Wyandotte St E,Riverside Resource Library,http://www.windsorpubliclibrary.com/?page_id=126,-82.960898547900001,42.329786288199998
6,1310 Grand Marais W,Nikola Budimir Memorial Resource Library,http://www.windsorpubliclibrary.com/?page_id=126,-83.026711759999998,42.268288486199999
7,4285 Seminole St,Seminole Community Library,http://www.windsorpubliclibrary.com/?page_id=126,-82.979296139900001,42.316964463100000
8,254 Pitt Street W,Windsor Community Museum,http://www.windsorpubliclibrary.com/?page_id=126,-83.042429080700003,42.318506310899998
9,1295 Campbell Ave,Bridgeview Library,http://www.windsorpubliclibrary.com/?page_id=126,-83.050115658500005,42.296983603699999